John Smith, S001, Computer Science, Introduction to Programming, Introduction to Programming: A
Samuel Torres, S045, Web Development, Web Development Fundamentals, Web Development Fundamentals: B
Paige Price, S046, Web Development, Web Development Fundamentals, Web Development Fundamentals: C
Austin Rivera, S047, Web Development, Web Development Fundamentals, Web Development Fundamentals: A-
Alexis Long, S048, Web Development, Web Development Fundamentals, Web Development Fundamentals: B+
Logan Cooper, S049, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B
Haley Richardson, S050, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: C+
Benjamin Barnes, S051, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A
Morgan Foster, S052, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A-
Zachary Ward, S053, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B+
Gabriella Jenkins, S054, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: C+
Jason Murphy, S055, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A
Brianna Bell, S056, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B
Ethan Cox, S057, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: C
Taylor Ross, S058, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A-
Caroline Butler, S059, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B+
Lucas Sanders, S060, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A
Kaylee Bryant, S061, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B
Patrick Howard, S062, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: C
Grace Hayes, S063, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: A-
Jordan Coleman, S064, Web Development, Data Structures and Algorithms, Data Structures and Algorithms: B+
Lily Richardson, S065, Data Science, Software Engineering Principles, Software Engineering Principles: A
Cameron Barnes, S066, Data Science, Software Engineering Principles, Software Engineering Principles: B
Megan Howard, S067, Data Science, Software Engineering Principles, Software Engineering Principles: C+
Derek Roberts, S068, Data Science, Software Engineering Principles, Software Engineering Principles: A
Autumn Cook, S069, Data Science, Software Engineering Principles, Software Engineering Principles: B+
Elijah Perry, S070, Data Science, Software Engineering Principles, Software Engineering Principles: B-
Sydney Gray, S071, Data Science, Software Engineering Principles, Software Engineering Principles: C+
Nathan Peterson, S072, Data Science, Software Engineering Principles, Software Engineering Principles: A-
Hailey Ramirez, S073, Data Science, Software Engineering Principles, Software Engineering Principles: B
Gavin Watson, S074, Data Science, Software Engineering Principles, Software Engineering Principles: C
Kylie Kelly, S075, Data Science, Software Engineering Principles, Software Engineering Principles: A
Jaden Richardson, S076, Data Science, Software Engineering Principles, Software Engineering Principles: B
Destiny Price, S077, Data Science, Software Engineering Principles, Software Engineering Principles: C+
Isaiah Hughes, S078, Data Science, Software Engineering Principles, Software Engineering Principles: A-
Layla Barnes, S079, Data Science, Software Engineering Principles, Software Engineering Principles: B+
Austin Murphy, S080, Data Science, Software Engineering Principles, Software Engineering Principles: B-
